level,branch,place,position,no,name,full_name,state,political_party,political_leaning,president,president_political_party,start_date,end_date,birth_state,birth_date,impeached
federal,executive,Department of Defense,Secretary of Defense,21,Donald Rumsfeld,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,22,Robert Gates,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,23,Leon Panetta,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,24,Chuck Hagel,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,25,Ash Carter,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,26,Jim Mattis,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,27,Mark Esper,,,,,,,,,,,
federal,executive,Department of Defense,Secretary of Defense,28,Lloyd Austin,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,1,Stephen Early,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,2,Robert A. Lovett,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,3,William Chapman Foster,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,4,Roger M. Kyes,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,5,Robert B. Anderson,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,6,Reuben B. Robertson Jr.,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,7,Donald A. Quarles,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,8,Thomas S. Gates Jr.,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,9,James H. Douglas Jr.,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,10,Roswell Gilpatric,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,11,Cyrus Vance,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,12,Paul Nitze,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,13,David Packard,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,14,Kenneth Rush,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,15,Bill Clements,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,16,Robert Ellsworth,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,17,Charles Duncan Jr.,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,18,W. Graham Claytor Jr.,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,19,Frank Carlucci,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,20,W. Paul Thayer,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,21,William Howard Taft IV,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,22,Donald J. Atwood Jr.,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,23,William Perry,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,24,John M. Deutch,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,25,John P. White,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,26,John Hamre,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,27,Rudy de Leon,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,28,Paul Wolfowitz,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,29,Gordon R. England,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,30,William J. Lynn III,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,31,Ash Carter,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,32,Robert O. Work,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,33,Patrick M. Shanahan,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,34,David Norquist,,,,,,,,,,,
federal,executive,Department of Defense,Deputy Secretary of Defense,35,Kathleen Hicks,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,1,Alexander Hamilton,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,2,Oliver Wolcott Jr.,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,3,Samuel Dexter,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,4,Albert Gallatin,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,5,George W. Campbell,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,6,Alexander J. Dallas,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,7,William H. Crawford,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,8,Richard Rush,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,9,Samuel D. Ingham,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,10,Louis McLane,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,11,William J. Duane,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,12,Roger B. Taney,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,13,Levi Woodbury,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,14,Thomas Ewing,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,15,Walter Forward,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,16,John Canfield Spencer,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,17,George M. Bibb,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,18,Robert J. Walker,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,19,William M. Meredith,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,20,Thomas Corwin,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,21,James Guthrie,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,22,Howell Cobb,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,23,Philip Francis Thomas,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,24,John Adams Dix,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,25,Salmon P. Chase,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,26,William P. Fessenden,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,27,Hugh McCulloch,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,28,George S. Boutwell,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,29,William Adams Richardson,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,30,Benjamin Bristow,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,31,Lot M. Morrill,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,32,John Sherman,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,33,William Windom,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,34,Charles J. Folger,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,35,Walter Q. Gresham,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,36,Hugh McCulloch,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,37,Daniel Manning,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,38,Charles S. Fairchild,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,39,William Windom,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,40,Charles Foster,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,41,John G. Carlisle,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,42,Lyman J. Gage,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,43,L. M. Shaw,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,44,George B. Cortelyou,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,45,Franklin MacVeagh,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,46,William Gibbs McAdoo,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,47,Carter Glass,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,48,David F. Houston,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,49,Andrew Mellon,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,50,Ogden L. Mills,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,51,William H. Woodin,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,52,Henry Morgenthau Jr.,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,53,Fred M. Vinson,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,54,John Wesley Snyder,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,55,George M. Humphrey,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,56,Robert B. Anderson,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,57,C. Douglas Dillon,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,58,Henry H. Fowler,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,59,Joseph W. Barr,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,60,David M. Kennedy,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,61,John Connally,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,62,George Shultz,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,63,William E. Simon,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,64,W. Michael Blumenthal,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,65,G. William Miller,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,66,Donald Regan,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,67,James Baker,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,68,Nicholas F. Brady,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,69,Lloyd Bentsen,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,70,Robert Rubin,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,71,Lawrence Summers,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,72,Paul H. O'Neill,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,73,John W. Snow,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,74,Henry Paulson,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,75,Timothy Geithner,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,76,Jack Lew,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,77,Steven Mnuchin,,,,,,,,,,,
federal,executive,Department of the Treasury,Secretary of the Treasury,78,Janet Yellen,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,1,R. T. McNamar,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,2,Richard Darman,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,3,M. Peter McPherson,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,4,John E. Robson,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,5,Roger Altman,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,6,Frank N. Newman,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,7,Lawrence Summers,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,8,Stuart E. Eizenstat,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,9,Kenneth W. Dam,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,10,Samuel Bodman,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,11,Robert M. Kimmitt,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,12,Neal S. Wolin,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,13,Sarah Bloom Raskin,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,14,Justin Muzinich,,,,,,,,,,,
federal,executive,Department of the Treasury,Deputy Secretary of the Treasury,15,Wally Adeyemo,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,1,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,2,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,3,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,4,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,5,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,6,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,7,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,8,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,9,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,10,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,11,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,12,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,13,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,14,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,15,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,16,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,17,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,18,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,19,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,20,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,21,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,22,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,23,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,24,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,25,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,26,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,27,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,28,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,29,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,30,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,31,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,32,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,33,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,34,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,35,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,36,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,37,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,38,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,39,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,40,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,41,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,42,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,43,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,44,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,45,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,46,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,47,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,48,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,49,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,50,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,51,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,52,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,53,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,54,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,55,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,56,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,57,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,58,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,59,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,60,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,61,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,62,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,63,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,64,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,65,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,66,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,67,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,68,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,69,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,70,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,71,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,72,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,73,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,74,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,75,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,76,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,77,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,78,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,79,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,80,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,81,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,82,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,83,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,84,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,85,,,,,,,,,,,,
federal,executive,Department of Justice,Attorney General,86,,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,1,Peyton Ford,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,2,A. Devitt Vanech,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,3,Ross L. Malone,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,4,William P. Rogers,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,5,Lawrence Walsh,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,6,Byron White,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,7,Nicholas Katzenbach,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,8,Ramsey Clark,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,9,Warren Christopher,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,10,Richard Kleindienst,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,11,Ralph E. Erickson,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,12,Joseph Sneed,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,13,William Ruckelshaus,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,14,Laurence Silberman,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,15,"Harold R. Tyler, Jr.",,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,16,Peter F. Flaherty,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,17,Benjamin Civiletti,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,18,Charles Byron Renfrew,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,19,Edward C. Schmults,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,20,Carol E. Dinkins,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,21,D. Lowell Jensen,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,22,Arnold Burns,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,23,Harold G. Christensen,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,24,Donald B. Ayer,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,25,William P. Barr,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,26,George Terwilliger,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,27,Philip Heymann,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,28,Jamie Gorelick,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,29,Eric Holder,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,30,Larry Thompson,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,31,James Comey,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,32,Paul McNulty,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,33,Mark Filip,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,34,David W. Ogden,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,35,James M. Cole,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,36,Sally Yates,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,37,Rod Rosenstein,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,38,Jeffrey A. Rosen,,,,,,,,,,,
federal,executive,Department of Justice,Deputy Attorney General,39,Lisa Monaco,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,1,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,2,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,3,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,4,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,5,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,6,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,7,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,8,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,9,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,10,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,11,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,12,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,13,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,14,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,15,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,16,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,17,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,18,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,19,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,20,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,21,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,22,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,23,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,24,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,25,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,26,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,27,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,28,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,29,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,30,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,31,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,32,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,33,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,34,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,35,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,36,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,37,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,38,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,39,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,40,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,41,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,42,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,43,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,44,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,45,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,46,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,47,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,48,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,49,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,50,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,51,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,52,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,53,,,,,,,,,,,,
federal,executive,Department of the Interior,Secretary of the Interior,54,,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,1,Norman Jay Colman,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,2,Jeremiah McLain Rusk,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,3,Julius Sterling Morton,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,4,James Wilson,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,5,David F. Houston,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,6,Edwin T. Meredith,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,7,Henry Cantwell Wallace,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,8,Howard Mason Gore,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,9,William Marion Jardine,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,10,Arthur M. Hyde,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,11,Henry A. Wallace,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,12,Claude R. Wickard,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,13,Clinton Anderson,,,,,,,,,,,
federal,executive,Department of Agriculture,Secretary of Agriculture,14,Clinton Anderson,,,,,,,,,,,
