symbol,name,security
IBCP,Independent Bank Corporation,Independent Bank Corporation - Common Stock
IBKC,IBERIABANK Corporation,IBERIABANK Corporation - Common Stock
IBKCO,IBERIABANK Corporation,IBERIABANK Corporation - Depositary Shares Representing Series C Fixed to Floating
IBKCP,IBERIABANK Corporation,IBERIABANK Corporation - Depositary Shares Representing Series B Fixed to Floating
IBKR,"Interactive Brokers Group, Inc.","Interactive Brokers Group, Inc. - Common Stock"
IBOC,International Bancshares Corporation,International Bancshares Corporation - Common Stock
IBTX,"Independent Bank Group, Inc","Independent Bank Group, Inc - Common Stock"
IBUY,Amplify Online Retail ETF,Amplify Online Retail ETF
ICAD,icad inc.,icad inc. - Common Stock
ICBK,"County Bancorp, Inc.","County Bancorp, Inc. - Common Stock"
ICCC,ImmuCell Corporation,ImmuCell Corporation - Common Stock
ICCH,"ICC Holdings, Inc.","ICC Holdings, Inc. - Common Stock"
ICFI,"ICF International, Inc.","ICF International, Inc. - Common Stock"
ICHR,Ichor Holdings,Ichor Holdings - Ordinary Shares
ICLK,iClick Interactive Asia Group Limited,iClick Interactive Asia Group Limited - American Depositary Shares
ICLN,iShares S&P Global Clean Energy Index Fund,iShares S&P Global Clean Energy Index Fund
ICLR,ICON plc,ICON plc - Ordinary Shares
ICON,"Iconix Brand Group, Inc.","Iconix Brand Group, Inc. - Common Stock"
ICPT,"Intercept Pharmaceuticals, Inc.","Intercept Pharmaceuticals, Inc. - Common Stock"
ICUI,"ICU Medical, Inc.","ICU Medical, Inc. - Common Stock"
IDCC,"InterDigital, Inc.","InterDigital, Inc. - Common Stock"
IDLB,Invesco FTSE International Low Beta Equal Weight ETF,Invesco FTSE International Low Beta Equal Weight ETF
IDRA,"Idera Pharmaceuticals, Inc.","Idera Pharmaceuticals, Inc. - Common Stock"
IDSA,"Industrial Services of America, Inc.","Industrial Services of America, Inc. - Common Stock"
IDSY,"I.D. Systems, Inc.","I.D. Systems, Inc. - Common Stock"
IDTI,"Integrated Device Technology, Inc.","Integrated Device Technology, Inc. - Common Stock"
IDXG,"Interpace Diagnostics Group, Inc.","Interpace Diagnostics Group, Inc. - Common Stock"
IDXX,"IDEXX Laboratories, Inc.","IDEXX Laboratories, Inc. - Common Stock"
IEA,"Infrastructure and Energy Alternatives, Inc.","Infrastructure and Energy Alternatives, Inc. - Common Stock"
IEAWW,"Infrastructure and Energy Alternatives, Inc.","Infrastructure and Energy Alternatives, Inc. - Warrant"
IEF,iShares 7,iShares 7-10 Year Treasury Bond ETF
IEI,iShares 3,iShares 3-7 Year Treasury Bond ETF
IEP,Icahn Enterprises L.P.,Icahn Enterprises L.P. - Depositary units
IESC,"IES Holdings, Inc.","IES Holdings, Inc. - Common Stock"
IEUS,iShares MSCI Europe Small,iShares MSCI Europe Small-Cap ETF
IFEU,iShares FTSE EPRA/NAREIT Europe Index Fund,iShares FTSE EPRA/NAREIT Europe Index Fund
IFGL,iShares FTSE EPRA/NAREIT Global Real Estate ex,iShares FTSE EPRA/NAREIT Global Real Estate ex-U.S. Index Fund
IFMK,iFresh Inc.,iFresh Inc. - Common Stock
IFRX,InflaRx N.V.,InflaRx N.V. - Common Stock
IFV,First Trust Dorsey Wright International Focus 5 ETF,First Trust Dorsey Wright International Focus 5 ETF
IGF,iShares Global Infrastructure ETF,iShares Global Infrastructure ETF
IGIB,iShares Intermediate,iShares Intermediate-Term Corporate Bond ETF
IGLD,Internet Gold Golden Lines Ltd.,Internet Gold Golden Lines Ltd. - Ordinary Shares
IGOV,iShares International Treasury Bond ETF,iShares International Treasury Bond ETF
IGSB,iShares Short,iShares Short-Term Corporate Bond ETF
III,"Information Services Group, Inc.","Information Services Group, Inc. - Common Stock"
IIIN,"Insteel Industries, Inc.","Insteel Industries, Inc. - Common Stock"
IIIV,"i3 Verticals, Inc.","i3 Verticals, Inc. - Common Stock"
IIJI,"Internet Initiative Japan, Inc.","Internet Initiative Japan, Inc. - ADS represents common stock"
IIN,IntriCon Corporation,IntriCon Corporation - Common Stock
IIVI,II,II-VI Incorporated - Common Stock
IJT,iShares S&P Small,iShares S&P Small-Cap 600 Growth ETF
IKNX,Ikonics Corporation,Ikonics Corporation - Common Stock
ILG,"ILG, Inc","ILG, Inc - Common Stock"
ILMN,"Illumina, Inc.","Illumina, Inc. - Common Stock"
ILPT,Industrial Logistics Properties Trust,Industrial Logistics Properties Trust - Common Shares of Beneficial Interest
IMDZ,Immune Design Corp.,Immune Design Corp. - Common Stock
IMGN,"ImmunoGen, Inc.","ImmunoGen, Inc. - Common Stock"
IMI,"Intermolecular, Inc.","Intermolecular, Inc. - Common Stock"
IMKTA,"Ingles Markets, Incorporated","Ingles Markets, Incorporated - Class A Common Stock"
IMMP,Immutep Limited,Immutep Limited - American Depositary Shares
IMMR,Immersion Corporation,Immersion Corporation - Common Stock
IMMU,"Immunomedics, Inc.","Immunomedics, Inc. - Common Stock"
IMMY,"Imprimis Pharmaceuticals, Inc.","Imprimis Pharmaceuticals, Inc. - Common Stock"
IMOS,ChipMOS TECHNOLOGIES INC.,ChipMOS TECHNOLOGIES INC. - American Depositary Shares
IMPV,"Imperva, Inc.","Imperva, Inc. - Common Stock"
IMRN,Immuron Limited,Immuron Limited - American Depositary Shares
IMRNW,Immuron Limited,Immuron Limited - Warrants
IMTE,Integrated Media Technology Limited,Integrated Media Technology Limited - Ordinary Shares
IMV,IMV Inc.,IMV Inc. - Common Shares
IMXI,"International Money Express, Inc.","International Money Express, Inc. - Common Stock"
IMXIW,"International Money Express, Inc.","International Money Express, Inc. - Warrant"
INAP,Internap Corporation,Internap Corporation - Common Stock
INBK,First Internet Bancorp,First Internet Bancorp - Common Stock
INBKL,First Internet Bancorp,First Internet Bancorp - 6.0% Fixed-to-Floating Rate Subordinated Notes due 2026
INCY,Incyte Corporation,Incyte Corporation - Common Stock
INDB,Independent Bank Corp.,Independent Bank Corp. - Common Stock
INDU,Industrea Acquisition Corp.,Industrea Acquisition Corp. - Class A Common Stock
INDUU,Industrea Acquisition Corp.,Industrea Acquisition Corp. - Unit
INDUW,Industrea Acquisition Corp.,Industrea Acquisition Corp. - Warrant
INDY,iShares S&P India Nifty 50 Index Fund,iShares S&P India Nifty 50 Index Fund
INFI,"Infinity Pharmaceuticals, Inc.","Infinity Pharmaceuticals, Inc. - Common Stock"
INFN,Infinera Corporation,Infinera Corporation - Common Stock
INFO,IHS Markit Ltd.,IHS Markit Ltd. - Common Shares
INFR,Legg Mason Global Infrastructure ETF,Legg Mason Global Infrastructure ETF
INGN,"Inogen, Inc","Inogen, Inc - Common Stock"
INNT,"Innovate Biopharmaceuticals, Inc.","Innovate Biopharmaceuticals, Inc. - Common Stock"
INO,"Inovio Pharmaceuticals, Inc.","Inovio Pharmaceuticals, Inc. - Common Stock"
INOD,Innodata Inc.,Innodata Inc. - Common Stock
INOV,"Inovalon Holdings, Inc.","Inovalon Holdings, Inc. - Class A Common Stock"
INPX,"Inpixon ",Inpixon  - Common Stock
INSE,"Inspired Entertainment, Inc.","Inspired Entertainment, Inc. - Common Stock"
INSG,Inseego Corp.,Inseego Corp. - Common Stock
INSM,"Insmed, Inc.","Insmed, Inc. - Common Stock"
INSY,"Insys Therapeutics, Inc.","Insys Therapeutics, Inc. - Common Stock"
INTC,Intel Corporation,Intel Corporation - Common Stock
INTG,The Intergroup Corporation,The Intergroup Corporation - Common Stock
INTL,INTL FCStone Inc.,INTL FCStone Inc. - Common Stock
INTU,Intuit Inc.,Intuit Inc. - Common Stock
INTX,"Intersections, Inc.","Intersections, Inc. - Common Stock"
INVA,"Innoviva, Inc.","Innoviva, Inc. - Common Stock"
INVE,"Identiv, Inc.","Identiv, Inc. - Common Stock"
INWK,"InnerWorkings, Inc.","InnerWorkings, Inc. - Common Stock"
IONS,"Ionis Pharmaceuticals, Inc.","Ionis Pharmaceuticals, Inc. - Common Stock"
IOSP,Innospec Inc.,Innospec Inc. - Common Stock
IOTS,Adesto Technologies Corporation,Adesto Technologies Corporation - Common Stock
IOVA,"Iovance Biotherapeutics, Inc.","Iovance Biotherapeutics, Inc. - Common Stock"
IPAR,"Inter Parfums, Inc.","Inter Parfums, Inc. - Common Stock"
IPAS,iPass Inc.,iPass Inc. - Common Stock
IPCI,Intellipharmaceutics International Inc.,Intellipharmaceutics International Inc. - Common Stock
IPDN,"Professional Diversity Network, Inc.","Professional Diversity Network, Inc. - Common Stock"
IPGP,IPG Photonics Corporation,IPG Photonics Corporation - Common Stock
IPHS,"Innophos Holdings, Inc.","Innophos Holdings, Inc. - Common Stock"
IPIC,iPic Entertainment Inc.,iPic Entertainment Inc. - Class A Common Stock
IPKW,Invesco International BuyBack Achievers ETF,Invesco International BuyBack Achievers ETF
IPWR,Ideal Power Inc.,Ideal Power Inc. - Common Stock
IQ,"iQIYI, Inc.","iQIYI, Inc. - American Depositary Shares"
IRBT,iRobot Corporation,iRobot Corporation - Common Stock
IRCP,IRSA Propiedades Comerciales S.A.,IRSA Propiedades Comerciales S.A. - American Depository Shares
IRDM,Iridium Communications Inc,Iridium Communications Inc - Common Stock
IRDMB,Iridium Communications Inc,Iridium Communications Inc - 6.75% Series B Cumulative Perpetual Convertible Preferred Stock
IRIX,IRIDEX Corporation,IRIDEX Corporation - Common Stock
IRMD,iRadimed Corporation,iRadimed Corporation - Common Stock
IROQ,"IF Bancorp, Inc.","IF Bancorp, Inc. - Common Stock"
IRTC,"iRhythm Technologies, Inc.","iRhythm Technologies, Inc. - Common Stock"
IRWD,"Ironwood Pharmaceuticals, Inc.","Ironwood Pharmaceuticals, Inc. - Class A Common Stock"
ISBC,"Investors Bancorp, Inc.","Investors Bancorp, Inc. - Common Stock"
ISCA,International Speedway Corporation,International Speedway Corporation - Class A Common Stock
ISHG,iShares 1,iShares 1-3 Year International Treasury Bond ETF
ISIG,"Insignia Systems, Inc.","Insignia Systems, Inc. - Common Stock"
ISNS,"Image Sensing Systems, Inc.","Image Sensing Systems, Inc. - Common Stock"
ISRG,"Intuitive Surgical, Inc.","Intuitive Surgical, Inc. - Common Stock"
ISRL,"Isramco, Inc.","Isramco, Inc. - Common Stock"
ISSC,"Innovative Solutions and Support, Inc.","Innovative Solutions and Support, Inc. - Common Stock"
ISTB,iShares Core 1,iShares Core 1-5 Year USD Bond ETF
ISTR,Investar Holding Corporation,Investar Holding Corporation - Common Stock
ITCI,Intra,Intra-Cellular Therapies Inc. - Common Stock
ITI,"Iteris, Inc.","Iteris, Inc. - Common Stock"
ITIC,Investors Title Company,Investors Title Company - Common Stock
ITRI,"Itron, Inc.","Itron, Inc. - Common Stock"
ITRM,Iterum Therapeutics plc,Iterum Therapeutics plc - Ordinary Share
ITRN,Ituran Location and Control Ltd.,Ituran Location and Control Ltd. - Ordinary Shares
ITUS,ITUS Corporation,ITUS Corporation - Common Stock
IUSB,iShares Core Total USD Bond Market ETF,iShares Core Total USD Bond Market ETF
IUSG,iShares Core S&P U.S. Growth ETF,iShares Core S&P U.S. Growth ETF
IUSV,iShares Core S&P U.S. Value ETF,iShares Core S&P U.S. Value ETF
IVAC,"Intevac, Inc.","Intevac, Inc. - Common Stock"
IVENC,Ivy NextShares,Ivy NextShares - Ivy Focused Energy NextShares
IVFGC,Ivy NextShares,Ivy NextShares - Ivy Focused Growth NextShares
IVFVC,Ivy NextShares,Ivy NextShares - Ivy Focused Value NextShares
IVTY,"Invuity, Inc.","Invuity, Inc. - Common Stock"
IXUS,iShares Core MSCI Total International Stock ETF,iShares Core MSCI Total International Stock ETF
IZEA,IZEA Inc.,IZEA Inc. - Common Stock
JACK,Jack In The Box Inc.,Jack In The Box Inc. - Common Stock
JAGX,"Jaguar Health, Inc.","Jaguar Health, Inc. - Common Stock"
JAKK,"JAKKS Pacific, Inc.","JAKKS Pacific, Inc. - Common Stock"
JASN,"Jason Industries, Inc.","Jason Industries, Inc. - Common Stock"
JASNW,"Jason Industries, Inc.","Jason Industries, Inc. - Warrant"
JAZZ,Jazz Pharmaceuticals plc,Jazz Pharmaceuticals plc - Ordinary Shares
JBHT,"J.B. Hunt Transport Services, Inc.","J.B. Hunt Transport Services, Inc. - Common Stock"
JBLU,JetBlue Airways Corporation,JetBlue Airways Corporation - Common Stock
JBSS,"John B. Sanfilippo & Son, Inc.","John B. Sanfilippo & Son, Inc. - Common Stock"
JCOM,"j2 Global, Inc.","j2 Global, Inc. - Common Stock"
JCS,"Communications Systems, Inc.","Communications Systems, Inc. - Common Stock"
JCTCF,Jewett,Jewett-Cameron Trading Company - Common Shares
JD,"JD.com, Inc.","JD.com, Inc. - American Depositary Shares"
JG,Aurora Mobile Limited,Aurora Mobile Limited - American Depositary Shares
JJSF,J & J Snack Foods Corp.,J & J Snack Foods Corp. - Common Stock
JKHY,"Jack Henry & Associates, Inc.","Jack Henry & Associates, Inc. - Common Stock"
JKI,iShares Morningstar Mid,iShares Morningstar Mid-Cap ETF
JMBA,"Jamba, Inc.","Jamba, Inc. - Common Stock"
JMU,JMU Limited,JMU Limited - ADS
JNCE,"Jounce Therapeutics, Inc.","Jounce Therapeutics, Inc. - Common Stock"
JOBS,"51job, Inc.","51job, Inc. - American Depositary Shares, each representing two common shares"
JOUT,Johnson Outdoors Inc.,Johnson Outdoors Inc. - Class A Common Stock
JRJC,China Finance Online Co. Limited,China Finance Online Co. Limited - American Depositary Shares representing 5 ordinary shares
JRSH,"Jerash Holdings (US), Inc.","Jerash Holdings (US), Inc. - Common Stock"
JRVR,"James River Group Holdings, Ltd.","James River Group Holdings, Ltd. - Common Shares"
JSM,Navient Corporation,"Navient Corporation - 6% Senior Notes due December 15, 2043"
JSMD,Janus Henderson Small/Mid Cap Growth Alpha ETF,Janus Henderson Small/Mid Cap Growth Alpha ETF
JSML,Janus Henderson Small Cap Growth Alpha ETF,Janus Henderson Small Cap Growth Alpha ETF
JSYN,Jensyn Acquistion Corp.,Jensyn Acquistion Corp. - Common Stock
JSYNR,Jensyn Acquistion Corp.,Jensyn Acquistion Corp. - Rights
JSYNU,Jensyn Acquistion Corp.,Jensyn Acquistion Corp. - Unit
JSYNW,Jensyn Acquistion Corp.,Jensyn Acquistion Corp. - Warrants
JTPY,JetPay Corporation,JetPay Corporation - Common Stock
JVA,"Coffee Holding Co., Inc.","Coffee Holding Co., Inc. - Common Stock"
JYNT,The Joint Corp.,The Joint Corp. - Common Stock
KAAC,Kayne Anderson Acquisition Corp.,Kayne Anderson Acquisition Corp. - Class A Common Stock
KAACU,Kayne Anderson Acquisition Corp.,Kayne Anderson Acquisition Corp. - Unit
KAACW,Kayne Anderson Acquisition Corp.,Kayne Anderson Acquisition Corp. - Warrant
KALA,"Kala Pharmaceuticals, Inc.","Kala Pharmaceuticals, Inc. - Common Stock"
KALU,Kaiser Aluminum Corporation,Kaiser Aluminum Corporation - Common Stock
KALV,"KalVista Pharmaceuticals, Inc.","KalVista Pharmaceuticals, Inc. - Common Stock"
KANG,"iKang Healthcare Group, Inc.","iKang Healthcare Group, Inc. - American Depositary Shares"
KBAL,"Kimball International, Inc.","Kimball International, Inc. - Class B Common Stock"
KBLM,KBL Merger Corp. IV,KBL Merger Corp. IV - Common Stock
KBLMR,KBL Merger Corp. IV,KBL Merger Corp. IV - Right
KBLMU,KBL Merger Corp. IV,KBL Merger Corp. IV - Unit
KBLMW,KBL Merger Corp. IV,KBL Merger Corp. IV - Warrant
KBSF,KBS Fashion Group Limited,KBS Fashion Group Limited - Common Stock
KBWB,Invesco KBW Bank ETF,Invesco KBW Bank ETF
KBWD,Invesco KBW High Dividend Yield Financial ETF,Invesco KBW High Dividend Yield Financial ETF
KBWP,Invesco KBW Property & Casualty Insurance ETF,Invesco KBW Property & Casualty Insurance ETF
KBWR,Invesco KBW Regional Banking ETF,Invesco KBW Regional Banking ETF
KBWY,Invesco KBW Premium Yield Equity REIT ETF,Invesco KBW Premium Yield Equity REIT ETF
KCAP,"KCAP Financial, Inc.","KCAP Financial, Inc. - common stock"
KCAPL,"KCAP Financial, Inc.","KCAP Financial, Inc. - 6.125% Notes due 2022"
KE,"Kimball Electronics, Inc.","Kimball Electronics, Inc. - Common Stock"
KELYA,"Kelly Services, Inc.","Kelly Services, Inc. - Class A Common Stock"
KELYB,"Kelly Services, Inc.","Kelly Services, Inc. - Class B Common Stock"
KEQU,Kewaunee Scientific Corporation,Kewaunee Scientific Corporation - Common Stock
KERX,"Keryx Biopharmaceuticals, Inc.","Keryx Biopharmaceuticals, Inc. - Common Stock"
KEYW,The KEYW Holding Corporation,The KEYW Holding Corporation - Common Stock
KFFB,Kentucky First Federal Bancorp,Kentucky First Federal Bancorp - Common Stock
KFRC,"Kforce, Inc.","Kforce, Inc. - Common Stock"
KGJI,Kingold Jewelry Inc.,Kingold Jewelry Inc. - Common Stock
KHC,The Kraft Heinz Company,The Kraft Heinz Company - Common Stock
KIDS,OrthoPediatrics Corp.,OrthoPediatrics Corp. - Common Stock
KIN,"Kindred Biosciences, Inc.","Kindred Biosciences, Inc. - Common Stock"
KINS,"Kingstone Companies, Inc","Kingstone Companies, Inc - Common Stock"
KIRK,"Kirkland's, Inc.","Kirkland's, Inc. - Common Stock"
KLAC,KLA,KLA-Tencor Corporation - Common Stock
KLIC,"Kulicke and Soffa Industries, Inc.","Kulicke and Soffa Industries, Inc. - Common Stock"
KLXI,KLX Inc.,KLX Inc. - Common Stock
KMDA,Kamada Ltd.,Kamada Ltd. - Ordinary Shares
KMPH,"KemPharm, Inc.","KemPharm, Inc. - Common Stock"
KNDI,"Kandi Technologies Group, Inc.","Kandi Technologies Group, Inc. - Common Stock"
KNSA,"Kiniksa Pharmaceuticals, Ltd.","Kiniksa Pharmaceuticals, Ltd. - Class A Common Stock"
KNSL,"Kinsale Capital Group, Inc.","Kinsale Capital Group, Inc. - Common Stock"
KONA,"Kona Grill, Inc.","Kona Grill, Inc. - Common Stock"
KONE,Kingtone Wirelessinfo Solution Holding Ltd,Kingtone Wirelessinfo Solution Holding Ltd - American Depositary Shares
KOOL,Cesca Therapeutics Inc.,Cesca Therapeutics Inc. - Common Stock
KOPN,Kopin Corporation,Kopin Corporation - Common Stock
KOSS,Koss Corporation,Koss Corporation - Common Stock
KPTI,Karyopharm Therapeutics Inc.,Karyopharm Therapeutics Inc. - Common Stock
KRMA,Global X Conscious Companies ETF,Global X Conscious Companies ETF
KRNT,Kornit Digital Ltd.,Kornit Digital Ltd. - Ordinary Shares
KRNY,Kearny Financial,Kearny Financial - Common Stock
KRYS,"Krystal Biotech, Inc.","Krystal Biotech, Inc. - Common Stock"
KTCC,Key Tronic Corporation,Key Tronic Corporation - Common Stock
KTOS,"Kratos Defense & Security Solutions, Inc.","Kratos Defense & Security Solutions, Inc. - Common Stock"
KTOV,Kitov Pharma Ltd.,Kitov Pharma Ltd. - American Depositary Shares
KTOVW,Kitov Pharma Ltd.,Kitov Pharma Ltd. - Warrants
KTWO,"K2M Group Holdings, Inc.","K2M Group Holdings, Inc. - Common Stock"
KURA,"Kura Oncology, Inc.","Kura Oncology, Inc. - Common Stock"
KVHI,"KVH Industries, Inc.","KVH Industries, Inc. - Common Stock"
KZIA,Kazia Therapeutics Limited,Kazia Therapeutics Limited - American Depositary Shares
KZR,"Kezar Life Sciences, Inc.","Kezar Life Sciences, Inc. - Common Stock"
LABL,Multi,Multi-Color Corporation - Common Stock
LACQ,Leisure Acquisition Corp.,Leisure Acquisition Corp. - Common Stock
LACQU,Leisure Acquisition Corp.,Leisure Acquisition Corp. - Unit
LACQW,Leisure Acquisition Corp.,Leisure Acquisition Corp. - Warrant
LAKE,"Lakeland Industries, Inc.","Lakeland Industries, Inc. - Common Stock"
LALT,Invesco Multi,Invesco Multi-Strategy Alternative ETF
LAMR,Lamar Advertising Company,Lamar Advertising Company - Class A Common Stock
LANC,Lancaster Colony Corporation,Lancaster Colony Corporation - Common Stock
LAND,Gladstone Land Corporation,Gladstone Land Corporation - Common Stock
LANDP,Gladstone Land Corporation,Gladstone Land Corporation - 6.375% Series A Cumulative Term Preferred Stock
LARK,Landmark Bancorp Inc.,Landmark Bancorp Inc. - Common Stock
LASR,"nLIGHT, Inc.","nLIGHT, Inc. - Common Stock"
LAUR,"Laureate Education, Inc.","Laureate Education, Inc. - Class A Common Stock"
LAWS,"Lawson Products, Inc.","Lawson Products, Inc. - Common Stock"
LAZY,"Lazydays Holdings, Inc.","Lazydays Holdings, Inc. - Common Stock"
LBAI,"Lakeland Bancorp, Inc.","Lakeland Bancorp, Inc. - Common Stock"
LBC,Luther Burbank Corporation,Luther Burbank Corporation - Common Stock
LBRDA,Liberty Broadband Corporation,Liberty Broadband Corporation - Class A Common Stock
LBRDK,Liberty Broadband Corporation,Liberty Broadband Corporation - Class C Common Stock
LBTYA,Liberty Global plc,Liberty Global plc - Class A Ordinary Shares
LBTYB,Liberty Global plc,Liberty Global plc - Class B Ordinary Shares
LBTYK,Liberty Global plc,Liberty Global plc - Class C Ordinary Shares
LCA,"Landcadia Holdings, Inc.","Landcadia Holdings, Inc. - Class A Common Stock"
LCAHU,"Landcadia Holdings, Inc.","Landcadia Holdings, Inc. - Unit"
LCAHW,"Landcadia Holdings, Inc.","Landcadia Holdings, Inc. - Warrant"
LCNB,LCNB Corporation,LCNB Corporation - Common Stock
LCUT,"Lifetime Brands, Inc.","Lifetime Brands, Inc. - Common Stock"
LDRI,Invesco LadderRite 0,Invesco LadderRite 0-5 Year Corporate Bond ETF
LE,"Lands' End, Inc.","Lands' End, Inc. - Common Stock"
LECO,"Lincoln Electric Holdings, Inc.","Lincoln Electric Holdings, Inc. - Common Shares"
LEDS,SemiLEDS Corporation,SemiLEDS Corporation - Common Stock
LEGR,First Trust Indxx Innovative Transaction & Process ETF,First Trust Indxx Innovative Transaction & Process ETF
LENS,Presbia PLC,Presbia PLC - Ordinary Shares
LEVL,"Level One Bancorp, Inc.","Level One Bancorp, Inc. - Common Stock"
LEXEA,"Liberty Expedia Holdings, Inc.","Liberty Expedia Holdings, Inc. - Series A Common Stock"
LEXEB,"Liberty Expedia Holdings, Inc.","Liberty Expedia Holdings, Inc. - Series B Common Stock"
LFAC,LF Capital Acquistion Corp.,LF Capital Acquistion Corp. - Class A Common Stock
LFACU,LF Capital Acquistion Corp.,LF Capital Acquistion Corp. - Unit
LFACW,LF Capital Acquistion Corp.,LF Capital Acquistion Corp. - Warrant
LFUS,"Littelfuse, Inc.","Littelfuse, Inc. - Common Stock"
LFVN,Lifevantage Corporation,Lifevantage Corporation - Common Stock
LGCY,Legacy Reserves LP,Legacy Reserves LP - Units Representing Limited Partner Interests
LGCYO,Legacy Reserves LP,Legacy Reserves LP - 8.00% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units
LGCYP,Legacy Reserves LP,Legacy Reserves LP - 8% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units
LGIH,"LGI Homes, Inc.","LGI Homes, Inc. - Common Stock"
LGND,Ligand Pharmaceuticals Incorporated,Ligand Pharmaceuticals Incorporated - Common Stock
LHCG,LHC Group,LHC Group - common stock
LIFE,"aTyr Pharma, Inc.","aTyr Pharma, Inc. - Common Stock"
LILA,Liberty Latin America Ltd.,Liberty Latin America Ltd. - Class A Common Stock
LILAK,Liberty Latin America Ltd.,Liberty Latin America Ltd. - Class C Common Stock
LINC,Lincoln Educational Services Corporation,Lincoln Educational Services Corporation - Common Stock
LIND,"Lindblad Expeditions Holdings Inc. ",Lindblad Expeditions Holdings Inc.  - Common Stock
LINDW,"Lindblad Expeditions Holdings Inc. ",Lindblad Expeditions Holdings Inc.  - Warrant
LINK,"Interlink Electronics, Inc.","Interlink Electronics, Inc. - Common Stock"
LION,Fidelity Southern Corporation,Fidelity Southern Corporation - Common Stock
LITE,Lumentum Holdings Inc.,Lumentum Holdings Inc. - Common Stock
LIVE,Live Ventures Incorporated,Live Ventures Incorporated - Common Stock
LIVN,LivaNova PLC,LivaNova PLC - Ordinary Shares
LIVX,"LiveXLive Media, Inc.","LiveXLive Media, Inc. - Common Stock"
LJPC,La Jolla Pharmaceutical Company,La Jolla Pharmaceutical Company - Common Stock
LKFN,Lakeland Financial Corporation,Lakeland Financial Corporation - Common Stock
LKOR,FlexShares Credit,FlexShares Credit-Scored US Long Corporate Bond Index Fund
LKQ,LKQ Corporation,LKQ Corporation - Common Stock
LLIT,Lianluo Smart Limited,Lianluo Smart Limited - Common Stock
LLNW,"Limelight Networks, Inc.","Limelight Networks, Inc. - Common Stock"
LMAT,"LeMaitre Vascular, Inc.","LeMaitre Vascular, Inc. - Common Stock"
LMB,"Limbach Holdings, Inc.","Limbach Holdings, Inc. - Common Stock"
LMBS,First Trust Low Duration Opportunities ETF,First Trust Low Duration Opportunities ETF
LMFA,"LM Funding America, Inc.","LM Funding America, Inc. - Common Stock"
LMFAW,"LM Funding America, Inc.","LM Funding America, Inc. - Warrant"
LMNR,Limoneira Co,Limoneira Co - Common Stock
LMNX,Luminex Corporation,Luminex Corporation - Common Stock
LMRK,Landmark Infrastructure Partners LP,Landmark Infrastructure Partners LP - Common Units
LMRKN,Landmark Infrastructure Partners LP,Landmark Infrastructure Partners LP - Preferred Stock
LMRKO,Landmark Infrastructure Partners LP,Landmark Infrastructure Partners LP - Preferred Units
LMRKP,Landmark Infrastructure Partners LP,Landmark Infrastructure Partners LP - 8.00% Series A Cumulative Redeemable Perpetual Preferred Units
LMST,"Limestone Bancorp, Inc.","Limestone Bancorp, Inc. - Common Stock"
LNDC,Landec Corporation,Landec Corporation - Common Stock
LNGR,Global X Longevity Thematic ETF,Global X Longevity Thematic ETF
LNTH,"Lantheus Holdings, Inc.","Lantheus Holdings, Inc. - Common Stock"
LOAN,"Manhattan Bridge Capital, Inc","Manhattan Bridge Capital, Inc - Common Stock"
LOB,"Live Oak Bancshares, Inc.","Live Oak Bancshares, Inc. - Common Stock"
LOCO,"El Pollo Loco Holdings, Inc.","El Pollo Loco Holdings, Inc. - Common Stock"
LOGI,Logitech International S.A.,Logitech International S.A. - Registered Shares
LOGM,"LogMeIn, Inc.","LogMeIn, Inc. - Common Stock"
LONE,Lonestar Resources US Inc.,Lonestar Resources US Inc. - Class A Common Stock
LOOP,"Loop Industries, Inc.","Loop Industries, Inc. - Common Stock"
LOPE,"Grand Canyon Education, Inc.","Grand Canyon Education, Inc. - Common Stock"
LORL,"Loral Space and Communications, Inc.","Loral Space and Communications, Inc. - Common Stock"
LOVE,The Lovesac Company,The Lovesac Company - Common Stock
LOXO,"Loxo Oncology, Inc.","Loxo Oncology, Inc. - Common Stock"
LPCN,Lipocine Inc.,Lipocine Inc. - Common Stock
LPLA,LPL Financial Holdings Inc.,LPL Financial Holdings Inc. - Common Stock
LPNT,"LifePoint Health, Inc.","LifePoint Health, Inc. - Common Stock"
LPSN,"LivePerson, Inc.","LivePerson, Inc. - Common Stock"
LPTH,"LightPath Technologies, Inc.","LightPath Technologies, Inc. - Class A Common Stock"
LPTX,"Leap Therapeutics, Inc.","Leap Therapeutics, Inc. - Common Stock"
LQDA,"Liquidia Technologies, Inc.","Liquidia Technologies, Inc. - Common Stock"
LQDT,"Liquidity Services, Inc.","Liquidity Services, Inc. - Common Stock"
LRAD,LRAD Corporation,LRAD Corporation - Common Stock
LRCX,Lam Research Corporation,Lam Research Corporation - Common Stock
LRGE,ClearBridge Large Cap Growth ESG ETF,ClearBridge Large Cap Growth ESG ETF
LSBK,"Lake Shore Bancorp, Inc.","Lake Shore Bancorp, Inc. - Common Stock"
LSCC,Lattice Semiconductor Corporation,Lattice Semiconductor Corporation - Common Stock
LSTR,"Landstar System, Inc.","Landstar System, Inc. - Common Stock"
LSXMA,Liberty Media Corporation,Liberty Media Corporation - Series A Liberty SiriusXM Common Stock
LSXMB,Liberty Media Corporation,Liberty Media Corporation - Series B Liberty SiriusXM Common Stock
