id,year,category,full_name,laureate_type,prize_share,prize,motivation,laureate_id,birth_date,birth_city,birth_country,sex,organization_name,organization_city,organization_country,death_date,death_city,death_country
168,2009,Chemistry,Thomas A. Steitz,Individual,1/3,The Nobel Prize in Chemistry 2009,"""for studies of the structure and function of the ribosome""",842.0,1940-08-23,"Milwaukee, WI",United States of America,Male,Yale University,"New Haven, CT",United States of America,N/A,N/A,N/A
169,2009,Chemistry,Thomas A. Steitz,Individual,1/3,The Nobel Prize in Chemistry 2009,"""for studies of the structure and function of the ribosome""",842.0,1940-08-23,"Milwaukee, WI",United States of America,Male,Howard Hughes Medical Institute,N/A,N/A,N/A,N/A,N/A
170,2009,Chemistry,Ada E. Yonath,Individual,1/3,The Nobel Prize in Chemistry 2009,"""for studies of the structure and function of the ribosome""",843.0,1939-06-22,Jerusalem,British Mandate of Palestine (Israel),Female,Weizmann Institute of Science,Rehovot,Israel,N/A,N/A,N/A
171,2010,Chemistry,Richard F. Heck,Individual,1/3,The Nobel Prize in Chemistry 2010,"""for palladium-catalyzed cross couplings in organic synthesis""",851.0,1931-08-15,"Springfield, MA",United States of America,Male,University of Delaware,N/A,United States of America,2015-10-09,Manila,Philippines
172,2010,Chemistry,Ei-ichi Negishi,Individual,1/3,The Nobel Prize in Chemistry 2010,"""for palladium-catalyzed cross couplings in organic synthesis""",852.0,1935-07-14,Changchun,China,Male,Purdue University,"West Lafayette, IN",United States of America,N/A,N/A,N/A
173,2010,Chemistry,Akira Suzuki,Individual,1/3,The Nobel Prize in Chemistry 2010,"""for palladium-catalyzed cross couplings in organic synthesis""",853.0,1930-09-12,Mukawa,Japan,Male,Hokkaido University,Sapporo,Japan,N/A,N/A,N/A
174,2011,Chemistry,Dan Shechtman,Individual,1/1,The Nobel Prize in Chemistry 2011,"""for the discovery of quasicrystals""",867.0,1941-01-24,Tel Aviv,British Mandate of Palestine (Israel),Male,Technion - Israel Institute of Technology,Haifa,Israel,N/A,N/A,N/A
175,2012,Chemistry,Robert J. Lefkowitz,Individual,1/2,The Nobel Prize in Chemistry 2012,"""for studies of G-protein-coupled receptors""",878.0,1943-04-15,"New York, NY",United States of America,Male,Howard Hughes Medical Institute,N/A,N/A,N/A,N/A,N/A
176,2012,Chemistry,Robert J. Lefkowitz,Individual,1/2,The Nobel Prize in Chemistry 2012,"""for studies of G-protein-coupled receptors""",878.0,1943-04-15,"New York, NY",United States of America,Male,Duke University Medical Center,"Durham, NC",United States of America,N/A,N/A,N/A
177,2012,Chemistry,Brian K. Kobilka,Individual,1/2,The Nobel Prize in Chemistry 2012,"""for studies of G-protein-coupled receptors""",879.0,1955-05-30,"Little Falls, MN",United States of America,Male,Stanford University School of Medicine,"Stanford, CA",United States of America,N/A,N/A,N/A
178,2013,Chemistry,Martin Karplus,Individual,1/3,The Nobel Prize in Chemistry 2013,"""for the development of multiscale models for complex chemical systems""",889.0,1930-03-15,Vienna,Austria,Male,Université de Strasbourg,Strasbourg,France,N/A,N/A,N/A
179,2013,Chemistry,Martin Karplus,Individual,1/3,The Nobel Prize in Chemistry 2013,"""for the development of multiscale models for complex chemical systems""",889.0,1930-03-15,Vienna,Austria,Male,Harvard University,"Cambridge, MA",United States of America,N/A,N/A,N/A
180,2013,Chemistry,Michael Levitt,Individual,1/3,The Nobel Prize in Chemistry 2013,"""for the development of multiscale models for complex chemical systems""",890.0,1947-05-09,Pretoria,South Africa,Male,Stanford University School of Medicine,"Stanford, CA",United States of America,N/A,N/A,N/A
181,2013,Chemistry,Arieh Warshel,Individual,1/3,The Nobel Prize in Chemistry 2013,"""for the development of multiscale models for complex chemical systems""",891.0,1940-11-20,Kibbutz Sde-Nahum,British Mandate of Palestine (Israel),Male,University of Southern California,"Los Angeles, CA",United States of America,N/A,N/A,N/A
182,2014,Chemistry,Eric Betzig,Individual,1/3,The Nobel Prize in Chemistry 2014,"""for the development of super-resolved fluorescence microscopy""",909.0,1960-01-13,"Ann Arbor, MI",United States of America,Male,"Janelia Research Campus, Howard Hughes Medical Institute","Ashburn, VA",United States of America,N/A,N/A,N/A
183,2014,Chemistry,Stefan W. Hell,Individual,1/3,The Nobel Prize in Chemistry 2014,"""for the development of super-resolved fluorescence microscopy""",910.0,1962-12-23,Arad,Romania,Male,Max Planck Institute for Biophysical Chemistry,Göttingen,Germany,N/A,N/A,N/A
184,2014,Chemistry,Stefan W. Hell,Individual,1/3,The Nobel Prize in Chemistry 2014,"""for the development of super-resolved fluorescence microscopy""",910.0,1962-12-23,Arad,Romania,Male,German Cancer Research Center,Heidelberg,Germany,N/A,N/A,N/A
185,2014,Chemistry,William E. Moerner,Individual,1/3,The Nobel Prize in Chemistry 2014,"""for the development of super-resolved fluorescence microscopy""",911.0,1953-06-24,"Pleasanton, CA",United States of America,Male,Stanford University,"Stanford, CA",United States of America,N/A,N/A,N/A
186,2015,Chemistry,Tomas Lindahl,Individual,1/3,The Nobel Prize in Chemistry 2015,"""for mechanistic studies of DNA repair""",921.0,1938-01-28,Stockholm,Sweden,Male,Francis Crick Institute,Hertfordshire,United Kingdom,N/A,N/A,N/A
187,2015,Chemistry,Tomas Lindahl,Individual,1/3,The Nobel Prize in Chemistry 2015,"""for mechanistic studies of DNA repair""",921.0,1938-01-28,Stockholm,Sweden,Male,Clare Hall Laboratory,Hertfordshire,United Kingdom,N/A,N/A,N/A
188,2015,Chemistry,Paul Modrich,Individual,1/3,The Nobel Prize in Chemistry 2015,"""for mechanistic studies of DNA repair""",922.0,1946-06-13,"Raton, NM",United States of America,Male,Howard Hughes Medical Institute,"Durham, NC",United States of America,N/A,N/A,N/A
189,2015,Chemistry,Paul Modrich,Individual,1/3,The Nobel Prize in Chemistry 2015,"""for mechanistic studies of DNA repair""",922.0,1946-06-13,"Raton, NM",United States of America,Male,Duke University School of Medicine,"Durham, NC",United States of America,N/A,N/A,N/A
190,2015,Chemistry,Aziz Sancar,Individual,1/3,The Nobel Prize in Chemistry 2015,"""for mechanistic studies of DNA repair""",923.0,1946-09-08,Savur,Turkey,Male,University of North Carolina,"Chapel Hill, NC",United States of America,N/A,N/A,N/A
191,2016,Chemistry,Jean-Pierre Sauvage,Individual,1/3,The Nobel Prize in Chemistry 2016,"""for the design and synthesis of molecular machines""",931.0,1944-10-21,Paris,France,Male,University of Strasbourg,Strasbourg,France,N/A,N/A,N/A
192,2016,Chemistry,Sir J. Fraser Stoddart,Individual,1/3,The Nobel Prize in Chemistry 2016,"""for the design and synthesis of molecular machines""",932.0,1942-05-24,Edinburgh,United Kingdom,Male,Northwestern University,"Evanston, IL",United States of America,N/A,N/A,N/A
193,2016,Chemistry,Bernard L. Feringa,Individual,1/3,The Nobel Prize in Chemistry 2016,"""for the design and synthesis of molecular machines""",933.0,1951-05-18,Barger-Compascuum,Netherlands,Male,University of Groningen,Groningen,Netherlands,N/A,N/A,N/A
194,2017,Chemistry,Jacques Dubochet,Individual,N/A,The Nobel Prize in Chemistry 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
195,2017,Chemistry,Joachim Frank,Individual,N/A,The Nobel Prize in Chemistry 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
196,2017,Chemistry,Richard Henderson,Individual,N/A,The Nobel Prize in Chemistry 2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
197,2018,Chemistry,Frances H. Arnold,Individual,N/A,The Nobel Prize in Chemistry 2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
198,2018,Chemistry,George P. Smith,Individual,N/A,The Nobel Prize in Chemistry 2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
199,2018,Chemistry,Greg Winter,Individual,N/A,The Nobel Prize in Chemistry 2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200,2019,Chemistry,John B. Goodenough,Individual,N/A,The Nobel Prize in Chemistry 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
201,2019,Chemistry,M. Stanley Whittingham,Individual,N/A,The Nobel Prize in Chemistry 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
202,2019,Chemistry,Akira Yoshino,Individual,N/A,The Nobel Prize in Chemistry 2019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
203,2020,Chemistry,Emmanuelle Charpentier,Individual,N/A,The Nobel Prize in Chemistry 2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
204,2020,Chemistry,Jennifer Doudna,Individual,N/A,The Nobel Prize in Chemistry 2020,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
205,2021,Chemistry,Benjamin List,Individual,N/A,The Nobel Prize in Chemistry 2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
206,2021,Chemistry,David MacMillan,Individual,N/A,The Nobel Prize in Chemistry 2021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
207,2022,Chemistry,Carolyn R. Bertozzi,Individual,N/A,The Nobel Prize in Chemistry 2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
208,2022,Chemistry,Morten P. Meldal,Individual,N/A,The Nobel Prize in Chemistry 2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
209,2022,Chemistry,Karl Barry Sharpless,Individual,N/A,The Nobel Prize in Chemistry 2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
210,1969,Economics,Ragnar Frisch,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1969,"""for having developed and applied dynamic models for the analysis of economic processes""",677.0,1895-03-03,Oslo,Norway,Male,University of Oslo,Oslo,Norway,1973-01-31,Oslo,Norway
211,1969,Economics,Jan Tinbergen,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1969,"""for having developed and applied dynamic models for the analysis of economic processes""",678.0,1903-04-12,the Hague,Netherlands,Male,The Netherlands School of Economics,Rotterdam,Netherlands,1994-06-09,the Hague,Netherlands
212,1970,Economics,Paul A. Samuelson,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1970,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""",679.0,1915-05-15,"Gary, IN",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,2009-12-13,"Belmont, MA",United States of America
213,1971,Economics,Simon Kuznets,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1971,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""",680.0,1901-04-30,Pinsk,Russian Empire (Belarus),Male,Harvard University,"Cambridge, MA",United States of America,1985-07-08,"Cambridge, MA",United States of America
214,1972,Economics,John R. Hicks,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1972,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",681.0,1904-04-08,Warwick,United Kingdom,Male,All Souls College,Oxford,United Kingdom,1989-05-20,Blockley,United Kingdom
215,1972,Economics,Kenneth J. Arrow,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1972,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",682.0,1921-08-23,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,N/A,N/A,N/A
216,1973,Economics,Wassily Leontief,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1973,"""for the development of the input-output method and for its application to important economic problems""",683.0,1906-08-05,St. Petersburg,Russia,Male,Harvard University,"Cambridge, MA",United States of America,1999-02-05,"New York, NY",United States of America
217,1974,Economics,Gunnar Myrdal,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1974,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena""",684.0,1898-12-06,Skattungbyn,Sweden,Male,N/A,N/A,N/A,1987-05-17,Stockholm,Sweden
218,1974,Economics,Friedrich August von Hayek,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1974,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena""",685.0,1899-05-08,Vienna,Austria,Male,N/A,N/A,N/A,1992-03-23,Freiburg,Germany
219,1975,Economics,Leonid Vitaliyevich Kantorovich,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1975,"""for their contributions to the theory of optimum allocation of resources""",686.0,1912-01-19,St. Petersburg,Russian Empire (Russia),Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics,1986-04-07,Moscow,Union of Soviet Socialist Republics (Russia)
220,1975,Economics,Tjalling C. Koopmans,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1975,"""for their contributions to the theory of optimum allocation of resources""",687.0,1910-08-28,'s Graveland,Netherlands,Male,Yale University,"New Haven, CT",United States of America,1985-02-26,"New Haven, CT",United States of America
221,1976,Economics,Milton Friedman,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1976,"""for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy""",688.0,1912-07-31,"Brooklyn, NY",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,2006-11-16,"San Francisco, CA",United States of America
222,1977,Economics,Bertil Ohlin,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1977,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",689.0,1899-04-23,Klippan,Sweden,Male,Stockholm School of Economics,Stockholm,Sweden,1979-08-03,Vålådalen,Sweden
223,1977,Economics,James E. Meade,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1977,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",690.0,1907-06-23,Swanage,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1995-12-22,Cambridge,United Kingdom
224,1978,Economics,Herbert A. Simon,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1978,"""for his pioneering research into the decision-making process within economic organizations""",691.0,1916-06-15,"Milwaukee, WI",United States of America,Male,Carnegie Mellon University,"Pittsburgh, PA",United States of America,2001-02-09,"Pittsburgh, PA",United States of America
225,1979,Economics,Theodore W. Schultz,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1979,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",692.0,1902-04-30,"Arlington, SD",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,1998-02-26,"Evanston, IL",United States of America
226,1979,Economics,Sir Arthur Lewis,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1979,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",693.0,1915-01-23,Castries,British West Indies (Saint Lucia),Male,Princeton University,"Princeton, NJ",United States of America,1991-06-15,Bridgetown,Barbados
227,1980,Economics,Lawrence R. Klein,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1980,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",694.0,1920-09-14,"Omaha, NE",United States of America,Male,University of Pennsylvania,"Philadelphia, PA",United States of America,2013-10-20,"Gladwyne, PA",United States of America
228,1981,Economics,James Tobin,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1981,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices""",695.0,1918-03-05,"Champaign, IL",United States of America,Male,Yale University,"New Haven, CT",United States of America,2002-03-11,"New Haven, CT",United States of America
229,1982,Economics,George J. Stigler,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1982,"""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation""",696.0,1911-01-17,"Renton, WA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,1991-12-01,"Chicago, IL",United States of America
230,1983,Economics,Gerard Debreu,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1983,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",697.0,1921-07-04,Calais,France,Male,University of California,"Berkeley, CA",United States of America,2004-12-31,Paris,France
231,1984,Economics,Richard Stone,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1984,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",698.0,1913-08-30,London,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1991-12-06,Cambridge,United Kingdom
232,1985,Economics,Franco Modigliani,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1985,"""for his pioneering analyses of saving and of financial markets""",699.0,1918-06-18,Rome,Italy,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,2003-09-25,"Cambridge, MA",United States of America
233,1986,Economics,James M. Buchanan Jr.,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1986,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",700.0,1919-10-03,"Murfreesboro, TN",United States of America,Male,Center for Study of Public Choice,"Fairfax, VA",United States of America,2013-01-09,"Blacksburg, VA",United States of America
234,1987,Economics,Robert M. Solow,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1987,"""for his contributions to the theory of economic growth""",701.0,1924-08-23,"Brooklyn, NY",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,N/A,N/A,N/A
235,1988,Economics,Maurice Allais,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1988,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",702.0,1911-05-31,Paris,France,Male,École Nationale Supérieur des Mines de Paris,Paris,France,2010-10-09,Paris,France
236,1989,Economics,Trygve Haavelmo,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1989,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",703.0,1911-12-13,Skedsmo,Norway,Male,University of Oslo,Oslo,Norway,1999-07-26,Oslo,Norway
237,1990,Economics,Harry M. Markowitz,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 1990,"""for their pioneering work in the theory of financial economics""",704.0,1927-08-24,"Chicago, IL",United States of America,Male,City University of New York,"New York, NY",United States of America,N/A,N/A,N/A
238,1990,Economics,Merton H. Miller,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 1990,"""for their pioneering work in the theory of financial economics""",705.0,1923-05-16,"Boston, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,2000-06-03,"Chicago, IL",United States of America
239,1990,Economics,William F. Sharpe,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 1990,"""for their pioneering work in the theory of financial economics""",706.0,1934-06-16,"Boston, MA",United States of America,Male,Stanford University,"Stanford, CA",United States of America,N/A,N/A,N/A
240,1991,Economics,Ronald H. Coase,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1991,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy""",707.0,1910-12-29,Willesden,United Kingdom,Male,University of Chicago,"Chicago, IL",United States of America,2013-09-02,"Chicago, IL",United States of America
241,1992,Economics,Gary S. Becker,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1992,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour""",708.0,1930-12-02,"Pottsville, PA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,2014-05-03,"Chicago, IL",United States of America
242,1993,Economics,Robert W. Fogel,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1993,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",709.0,1927-07-01,"New York, NY",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,2013-06-11,"Oak Lawn, IL",United States of America
243,1993,Economics,Douglass C. North,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1993,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",710.0,1920-11-05,"Cambridge, MA",United States of America,Male,Washington University,"St. Louis, MO",United States of America,2015-11-23,"Benzonia, MI",United States of America
244,1994,Economics,John C. Harsanyi,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 1994,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",711.0,1920-05-29,Budapest,Hungary,Male,University of California,"Berkeley, CA",United States of America,2000-08-09,"Berkeley, CA",United States of America
245,1994,Economics,John F. Nash Jr.,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 1994,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",712.0,1928-06-13,"Bluefield, WV",United States of America,Male,Princeton University,"Princeton, NJ",United States of America,2015-05-23,"New Jersey, NJ",United States of America
246,1994,Economics,Reinhard Selten,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 1994,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",713.0,1930-10-05,Breslau (Wroclaw),Germany (Poland),Male,Rheinische Friedrich-Wilhelms-Universität,Bonn,Federal Republic of Germany,2016-08-23,Poznan,Poland
247,1995,Economics,Robert E. Lucas Jr.,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1995,"""for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy""",714.0,1937-09-15,"Yakima, WA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,N/A,N/A,N/A
248,1996,Economics,James A. Mirrlees,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1996,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",715.0,1936-07-05,Minnigaff,Scotland,Male,University of Cambridge,Cambridge,United Kingdom,N/A,N/A,N/A
249,1996,Economics,William Vickrey,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1996,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",716.0,1914-06-21,"Victoria, BC",Canada,Male,Columbia University,"New York, NY",United States of America,1996-10-11,"Harrison, NY",United States of America
250,1997,Economics,Robert C. Merton,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1997,"""for a new method to determine the value of derivatives""",717.0,1944-07-31,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,N/A,N/A,N/A
251,1997,Economics,Myron S. Scholes,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1997,"""for a new method to determine the value of derivatives""",718.0,1941-07-01,"Timmins, ON",Canada,Male,Long Term Capital Management,"Greenwich, CT",United States of America,N/A,N/A,N/A
252,1998,Economics,Amartya Sen,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1998,"""for his contributions to welfare economics""",719.0,1933-11-03,Santiniketan,India,Male,Trinity College,Cambridge,United Kingdom,N/A,N/A,N/A
253,1999,Economics,Robert A. Mundell,Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1999,"""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas""",720.0,1932-10-24,"Kingston, ON",Canada,Male,Columbia University,"New York, NY",United States of America,N/A,N/A,N/A
254,2000,Economics,James J. Heckman,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2000,"""for his development of theory and methods for analyzing selective samples""",732.0,1944-04-19,"Chicago, IL",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,N/A,N/A,N/A
255,2000,Economics,Daniel L. McFadden,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2000,"""for his development of theory and methods for analyzing discrete choice""",733.0,1937-07-29,"Raleigh, NC",United States of America,Male,University of California,"Berkeley, CA",United States of America,N/A,N/A,N/A
256,2001,Economics,George A. Akerlof,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2001,"""for their analyses of markets with asymmetric information""",744.0,1940-06-17,"New Haven, CT",United States of America,Male,University of California,"Berkeley, CA",United States of America,N/A,N/A,N/A
257,2001,Economics,A. Michael Spence,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2001,"""for their analyses of markets with asymmetric information""",745.0,1943-00-00,"Montclair, NJ",United States of America,Male,Stanford University,"Stanford, CA",United States of America,N/A,N/A,N/A
258,2001,Economics,Joseph E. Stiglitz,Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2001,"""for their analyses of markets with asymmetric information""",746.0,1943-02-09,"Gary, IN",United States of America,Male,Columbia University,"New York, NY",United States of America,N/A,N/A,N/A
259,2002,Economics,Daniel Kahneman,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2002,"""for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty""",759.0,1934-03-05,Tel Aviv,British Mandate of Palestine (Israel),Male,Princeton University,"Princeton, NJ",United States of America,N/A,N/A,N/A
260,2002,Economics,Vernon L. Smith,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2002,"""for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms""",760.0,1927-01-01,"Wichita, KS",United States of America,Male,George Mason University,"Fairfax, VA",United States of America,N/A,N/A,N/A
261,2003,Economics,Robert F. Engle III,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2003,"""for methods of analyzing economic time series with time-varying volatility (ARCH)""",771.0,1942-11-10,"Syracuse, NY",United States of America,Male,New York University,"New York, NY",United States of America,N/A,N/A,N/A
262,2003,Economics,Clive W.J. Granger,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2003,"""for methods of analyzing economic time series with common trends (cointegration)""",772.0,1934-09-04,Swansea,United Kingdom,Male,University of California,"San Diego, CA",United States of America,2009-05-27,"San Diego, CA",United States of America
263,2004,Economics,Finn E. Kydland,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2004,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",786.0,1943-12-01,Gjesdal,Norway,Male,Carnegie Mellon University,"Pittsburgh, PA",United States of America,N/A,N/A,N/A
264,2004,Economics,Finn E. Kydland,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2004,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",786.0,1943-12-01,Gjesdal,Norway,Male,University of California,"Santa Barbara, CA",United States of America,N/A,N/A,N/A
265,2004,Economics,Edward C. Prescott,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2004,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",787.0,1940-12-26,"Glens Falls, NY",United States of America,Male,Arizona State University,"Tempe, AZ",United States of America,N/A,N/A,N/A
266,2004,Economics,Edward C. Prescott,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2004,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",787.0,1940-12-26,"Glens Falls, NY",United States of America,Male,Federal Reserve Bank of Minneapolis,"Minneapolis, MN",United States of America,N/A,N/A,N/A
267,2005,Economics,Robert J. Aumann,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2005,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",799.0,1930-06-08,Frankfurt-on-the-Main,Germany,Male,"University of Jerusalem, Center for RationalityHebrew",Jerusalem,Israel,N/A,N/A,N/A
268,2005,Economics,Thomas C. Schelling,Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2005,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",800.0,1921-04-14,"Oakland, CA",United States of America,Male,"University of Maryland, Department of Economics and School of Public Policy","College Park, MD",United States of America,2016-12-13,"Bethesda, MD",United States of America
