english,french,korean,spanish,vietnamese
soldier,soldat,군인,soldado,người lính
solution,solution,용액,solución,giải pháp
solve,résoudre,해결,resolver,giải quyết
some,certains,다소,algunos,một số
son,fils,아들,hijo,con trai
song,chanson,노래,canción,bài hát
soon,bientôt,곧,pronto,sớm
sound,son,소리,sonar,âm thanh
south,sud,남쪽,sur,nam
space,espace,공간,espacio,không gian
speak,parler,이야기,hablar,nói
special,spécial,특수,especial,đặc biệt
speech,discours,음성,discurso,bài phát biểu
speed,vitesse,속도,velocidad,tốc độ
spell,épeler,철자,deletrear,chính tả
spend,passer,지출,pasar,chi tiêu
spoke,rayon,이야기,habló,nói
spot,place,자리,lugar,tại chỗ
spread,propagation,확산,propagación,lây lan
spring,printemps,봄,primavera,mùa xuân
square,carré,광장,plaza,vuông
stand,supporter,서,de pie,đứng
star,étoile,스타,estrella,sao
start,début,시작,inicio,bắt đầu
state,état,상태,estado,nhà nước
station,station,역,estación,trạm
stay,rester,유지,quedarse,ở lại
stead,place,대신,lugar,thay
steam,vapeur,증기,vapor,hơi nước
steel,acier,스틸,acero,thép
step,étape,단계,paso,bước
stick,bâton,스틱,palillo,thanh
still,encore,여전히,todavía,vẫn
stone,pierre,돌,piedra,đá
stood,résisté,서,destacado,đứng
stop,arrêtez,중지,deténgase,ngăn chặn
store,magasin,상점,tienda,cửa hàng
story,histoire,이야기,historia,câu chuyện
straight,droit,직선,recta,thẳng
strange,étrange,기이 한,extraño,lạ
stream,courant,스트림,corriente,sông
street,rue,거리,calle,đường phố
stretch,tronçon,스트레칭,tramo,căng ra
string,chaîne,문자열,cadena,chuỗi
strong,fort,강한,fuerte,mạnh mẽ
student,étudiant,학생,estudiante,sinh viên
study,étude,연구,estudio,nghiên cứu
subject,sujet,주제,sujeto,tiêu đề
substance,substance,물질,sustancia,chất
subtract,soustraire,빼기,restar,trừ
success,succès,성공,éxito,thành công
such,tel,이러한,tal,như vậy
sudden,soudain,갑자기,repentina,đột ngột
suffix,suffixe,접미사,sufijo,hậu tố
sugar,sucre,설탕,azúcar,đường
suggest,suggérer,제안,sugerir,đề nghị
suit,costume,정장,traje,phù hợp với
summer,été,여름,verano,mùa hè
sun,soleil,일,sol,ánh nắng mặt trời
supply,alimentation,공급,suministro,cung cấp
support,support,지원,apoyo,hỗ trợ
sure,sûr,확실한,seguro,chắc chắn
surface,surface,표면,superficie,bề mặt
surprise,surprise,놀람,sorpresa,bất ngờ
swim,baignade,수영,nadar,bơi
syllable,syllabe,음절,sílaba,âm tiết
symbol,symbole,기호,símbolo,biểu tượng
system,système,시스템,sistema,hệ thống
table,table,나타난,mesa,bảng
tail,queue,꼬리,cola,đuôi
take,prendre,소요,tomar,có
talk,parler,이야기,charla,nói chuyện
tall,haut,키,de altura,cao
teach,enseigner,가르쳐,enseñar,dạy
team,équipe,팀,equipo,đội
teeth,dents,치아,dientes,răng
tell,dire,이야기,decir,nói
temperature,température,온도,temperatura,nhiệt độ
ten,dix,열,diez,mười
term,terme,용어,plazo,hạn
test,test,테스트,prueba,kiểm tra
than,que,보다,que,hơn
thank,merci,감사,gracias,cảm ơn
that,que,그,que,mà
the,la,에,la,các
their,leur,자신의,su,của họ
them,les,그,ellos,họ
then,puis,다음,entonces,sau đó
there,là,그곳에,hay,có
these,ces,이들,éstos,các
they,ils,그들,ellos,họ
thick,épais,두께,de espesor,dày
thin,mince,얇은,delgado,mỏng
thing,chose,일,cosa,điều
think,penser,생각,pensar,nghi
third,troisième,세번째,tercero,thứ ba
this,ce,이,este,này
those,ceux,그,los,những
though,bien que,그래도,aunque,mặc dù
thought,pensée,생각,pensado,nghĩ
thousand,mille,천,mil,ngàn
three,trois,세,tres,ba
through,par,를 통해,a través de,thông qua
throw,jeter,던져,lanzar,ném
thus,ainsi,따라서,"por tanto,",do đó
tie,lien,넥타이,empate,cà vạt
time,temps,시간,tiempo,thời gian
tiny,minuscule,작은,pequeño,nhỏ
tire,pneu,타이어,neumáticos,lốp xe
to,à,에,a,để
together,ensemble,함께,juntos,cùng
told,dit,이야기,dicho,nói
tone,ton,톤,tono,giai điệu
too,trop,너무,demasiado,quá
took,a pris,했다,tomó,mất
tool,outil,도구,herramienta,công cụ
top,haut,최고,cima,đầu
total,total,총,totales,tổng số
touch,toucher,터치,tocar,chạm
toward,vers,방향,hacia,hướng
town,ville,마을,ciudad,thị trấn
track,piste,트랙,pista,theo dõi
trade,commerce,무역,comercio,thương mại
train,train,기차,tren,đào tạo
travel,voyage,여행,viajes,du lịch
tree,arbre,트리,árbol,cây
triangle,triangle,삼각형,triángulo,tam giác
trip,voyage,여행,viaje,chuyến đi
trouble,difficulté,수고,problema,rắc rối
truck,camion,트럭,camión,xe tải
true,vrai,사실,verdadero,đúng
try,essayer,시험,tratar,thử
tube,tube,튜브,tubo,ống
turn,tour,회전,"a su vez,",lần lượt
twenty,vingt,스물,veinte,hai mươi
two,deux,두,dos,hai
type,type,유형,tipo,loại
under,sous,아래의,bajo,dưới
unit,unité,단위,unidad,đơn vị
until,jusqu’à ce que,까지,hasta,cho đến khi
up,jusqu’à,올라,hasta,lên
us,nous,우리,nosotros,chúng tôi
use,utiliser,사용,uso,sử dụng
usual,habituel,보통,habitual,thông thường
valley,vallée,계곡,valle,thung lũng
value,valeur,값,valor,giá trị
vary,varier,다양,variar,khác nhau
verb,verbe,동사,verbo,động từ
very,très,대단히,muy,rất
view,vue,보기,vista,xem
village,village,마을,pueblo,làng
visit,visite,방문,visita,lần
voice,voix,음성,voz,giọng nói
vowel,voyelle,모음,vocal,nguyên âm
wait,patienter,대기,espere,đợi
walk,marcher,도보,caminar,đi bộ
wall,mur,벽,pared,tường
want,vouloir,필요,querer,muốn
war,guerre,전쟁,guerra,chiến tranh
warm,chaud,따뜻한,caliente,ấm áp
was,était,했다,era,là
wash,lavage,세척,lavado,rửa
watch,regarder,손목 시계,ver,xem
water,eau,물,agua,nước
wave,vague,파,ola,sóng
way,manière,방법,camino,cách
we,nous,우리,nos,chúng tôi
wear,porter,착용,desgaste,mặc
weather,temps,날씨,tiempo,thời tiết
week,semaine,주,semana,tuần
weight,poids,무게,peso,trọng lượng
well,bien,잘,así,cũng
went,est allé,갔다,se fue,đi
were,étaient,했다,eran,là
west,ouest,서쪽,oeste,tây
what,que,무엇,qué,những gì
wheel,roue,휠,rueda,bánh xe
when,quand,때,cuando,khi
where,où,어디에,donde,nơi
whether,si,여부,si,liệu
which,qui,하는,que,mà
while,tandis que,반면,mientras,trong khi
white,blanc,흰색,blanco,trắng
who,qui,사람,que,người
whole,ensemble,전체,todo,toàn bộ
whose,dont,누구의,cuya,có
why,pourquoi,이유,por qué,lý do tại sao
wide,large,폭,amplio,rộng
wife,femme,아내,esposa,vợ
wild,sauvage,야생,salvaje,hoang dã
will,volonté,것,lo hará,sẽ
win,gagner,승리,ganar,giành chiến thắng
wind,vent,바람,viento,gió
window,fenêtre,창,ventana,cửa sổ
wing,aile,날개,ala,cánh
winter,hiver,겨울,invierno,mùa đông
wire,fil,와이어,alambre,dây
wish,souhaiter,소원,desear,muốn
with,avec,와,con,với
woman,femme,여성,mujer,người phụ nữ
women,femmes,여성,mujeres,phụ nữ
wonder,se demander,궁금,maravilla,tự hỏi
won’t,ne sera pas,하지 않습니다,no lo hará,sẽ không
wood,bois,나무,madera,gỗ
word,mot,단어,palabra,từ
work,travail,일,trabajo,công việc
world,monde,세계,mundo,thế giới
would,voudrais,것,haría,sẽ
write,écrire,쓰기,escribir,viết
written,écrit,기록,escrito,bằng văn bản
wrong,mal,나쁜,mal,sai
wrote,écrit,썼다,escribió,đã viết
yard,cour,야드,patio,sân
year,année,년,años,năm
yellow,jaune,노란색,amarillo,vàng
yes,oui,예,sí,vâng
yet,encore,아직,aún,nhưng
you,vous,당신,usted,anh
young,jeune,젊은,joven,trẻ
your,votre,당신의,su,của bạn
