Year,Category,Full Name,Motivation,Laureate Type,Prize Share,Prize,Laureate ID,Birth Date,Birth City,Birth Country,Sex,Organization Name,Organization City,Organization Country,Death Date,Death City,Death Country
1974,Economics,Gunnar Myrdal,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1974,684.0,1898-12-06,Skattungbyn,Sweden,Male,,,,1987-05-17,Stockholm,Sweden
1974,Economics,Friedrich August von Hayek,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1974,685.0,1899-05-08,Vienna,Austria,Male,,,,1992-03-23,Freiburg,Germany
1975,Economics,Leonid Vitaliyevich Kantorovich,"""for their contributions to the theory of optimum allocation of resources""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1975,686.0,1912-01-19,St. Petersburg,Russian Empire (Russia),Male,Academy of Sciences,Moscow,Union of Soviet Socialist Republics,1986-04-07,Moscow,Union of Soviet Socialist Republics (Russia)
1975,Economics,Tjalling C. Koopmans,"""for their contributions to the theory of optimum allocation of resources""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1975,687.0,1910-08-28,'s Graveland,Netherlands,Male,Yale University,"New Haven, CT",United States of America,1985-02-26,"New Haven, CT",United States of America
1976,Economics,Milton Friedman,"""for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilization policy""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1976,688.0,1912-07-31,"Brooklyn, NY",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,2006-11-16,"San Francisco, CA",United States of America
1977,Economics,Bertil Ohlin,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1977,689.0,1899-04-23,Klippan,Sweden,Male,Stockholm School of Economics,Stockholm,Sweden,1979-08-03,Vålådalen,Sweden
1977,Economics,James E. Meade,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1977,690.0,1907-06-23,Swanage,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1995-12-22,Cambridge,United Kingdom
1978,Economics,Herbert A. Simon,"""for his pioneering research into the decision-making process within economic organizations""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1978,691.0,1916-06-15,"Milwaukee, WI",United States of America,Male,Carnegie Mellon University,"Pittsburgh, PA",United States of America,2001-02-09,"Pittsburgh, PA",United States of America
1979,Economics,Theodore W. Schultz,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1979,692.0,1902-04-30,"Arlington, SD",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,1998-02-26,"Evanston, IL",United States of America
1979,Economics,Sir Arthur Lewis,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1979,693.0,1915-01-23,Castries,British West Indies (Saint Lucia),Male,Princeton University,"Princeton, NJ",United States of America,1991-06-15,Bridgetown,Barbados
1980,Economics,Lawrence R. Klein,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1980,694.0,1920-09-14,"Omaha, NE",United States of America,Male,University of Pennsylvania,"Philadelphia, PA",United States of America,2013-10-20,"Gladwyne, PA",United States of America
1981,Economics,James Tobin,"""for his analysis of financial markets and their relations to expenditure decisions, employment, production and prices""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1981,695.0,1918-03-05,"Champaign, IL",United States of America,Male,Yale University,"New Haven, CT",United States of America,2002-03-11,"New Haven, CT",United States of America
1982,Economics,George J. Stigler,"""for his seminal studies of industrial structures, functioning of markets and causes and effects of public regulation""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1982,696.0,1911-01-17,"Renton, WA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,1991-12-01,"Chicago, IL",United States of America
1983,Economics,Gerard Debreu,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1983,697.0,1921-07-04,Calais,France,Male,University of California,"Berkeley, CA",United States of America,2004-12-31,Paris,France
1984,Economics,Richard Stone,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1984,698.0,1913-08-30,London,United Kingdom,Male,University of Cambridge,Cambridge,United Kingdom,1991-12-06,Cambridge,United Kingdom
1985,Economics,Franco Modigliani,"""for his pioneering analyses of saving and of financial markets""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1985,699.0,1918-06-18,Rome,Italy,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,2003-09-25,"Cambridge, MA",United States of America
1986,Economics,James M. Buchanan Jr.,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1986,700.0,1919-10-03,"Murfreesboro, TN",United States of America,Male,Center for Study of Public Choice,"Fairfax, VA",United States of America,2013-01-09,"Blacksburg, VA",United States of America
1987,Economics,Robert M. Solow,"""for his contributions to the theory of economic growth""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1987,701.0,1924-08-23,"Brooklyn, NY",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,
1988,Economics,Maurice Allais,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1988,702.0,1911-05-31,Paris,France,Male,École Nationale Supérieur des Mines de Paris,Paris,France,2010-10-09,Paris,France
1989,Economics,Trygve Haavelmo,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1989,703.0,1911-12-13,Skedsmo,Norway,Male,University of Oslo,Oslo,Norway,1999-07-26,Oslo,Norway
1990,Economics,Harry M. Markowitz,"""for their pioneering work in the theory of financial economics""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 1990,704.0,1927-08-24,"Chicago, IL",United States of America,Male,City University of New York,"New York, NY",United States of America,,,
1990,Economics,Merton H. Miller,"""for their pioneering work in the theory of financial economics""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 1990,705.0,1923-05-16,"Boston, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,2000-06-03,"Chicago, IL",United States of America
1990,Economics,William F. Sharpe,"""for their pioneering work in the theory of financial economics""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 1990,706.0,1934-06-16,"Boston, MA",United States of America,Male,Stanford University,"Stanford, CA",United States of America,,,
1991,Economics,Ronald H. Coase,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1991,707.0,1910-12-29,Willesden,United Kingdom,Male,University of Chicago,"Chicago, IL",United States of America,2013-09-02,"Chicago, IL",United States of America
1992,Economics,Gary S. Becker,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1992,708.0,1930-12-02,"Pottsville, PA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,2014-05-03,"Chicago, IL",United States of America
1993,Economics,Robert W. Fogel,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1993,709.0,1927-07-01,"New York, NY",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,2013-06-11,"Oak Lawn, IL",United States of America
1993,Economics,Douglass C. North,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1993,710.0,1920-11-05,"Cambridge, MA",United States of America,Male,Washington University,"St. Louis, MO",United States of America,2015-11-23,"Benzonia, MI",United States of America
1994,Economics,John C. Harsanyi,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 1994,711.0,1920-05-29,Budapest,Hungary,Male,University of California,"Berkeley, CA",United States of America,2000-08-09,"Berkeley, CA",United States of America
1994,Economics,John F. Nash Jr.,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 1994,712.0,1928-06-13,"Bluefield, WV",United States of America,Male,Princeton University,"Princeton, NJ",United States of America,2015-05-23,"New Jersey, NJ",United States of America
1994,Economics,Reinhard Selten,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 1994,713.0,1930-10-05,Breslau (Wroclaw),Germany (Poland),Male,Rheinische Friedrich-Wilhelms-Universität,Bonn,Federal Republic of Germany,2016-08-23,Poznan,Poland
1995,Economics,Robert E. Lucas Jr.,"""for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1995,714.0,1937-09-15,"Yakima, WA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,,,
1996,Economics,James A. Mirrlees,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1996,715.0,1936-07-05,Minnigaff,Scotland,Male,University of Cambridge,Cambridge,United Kingdom,,,
1996,Economics,William Vickrey,"""for their fundamental contributions to the economic theory of incentives under asymmetric information""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1996,716.0,1914-06-21,"Victoria, BC",Canada,Male,Columbia University,"New York, NY",United States of America,1996-10-11,"Harrison, NY",United States of America
1997,Economics,Robert C. Merton,"""for a new method to determine the value of derivatives""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1997,717.0,1944-07-31,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,,,
1997,Economics,Myron S. Scholes,"""for a new method to determine the value of derivatives""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 1997,718.0,1941-07-01,"Timmins, ON",Canada,Male,Long Term Capital Management,"Greenwich, CT",United States of America,,,
1998,Economics,Amartya Sen,"""for his contributions to welfare economics""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1998,719.0,1933-11-03,Santiniketan,India,Male,Trinity College,Cambridge,United Kingdom,,,
1999,Economics,Robert A. Mundell,"""for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 1999,720.0,1932-10-24,"Kingston, ON",Canada,Male,Columbia University,"New York, NY",United States of America,,,
2000,Economics,James J. Heckman,"""for his development of theory and methods for analyzing selective samples""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2000,732.0,1944-04-19,"Chicago, IL",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,,,
2000,Economics,Daniel L. McFadden,"""for his development of theory and methods for analyzing discrete choice""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2000,733.0,1937-07-29,"Raleigh, NC",United States of America,Male,University of California,"Berkeley, CA",United States of America,,,
2001,Economics,George A. Akerlof,"""for their analyses of markets with asymmetric information""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2001,744.0,1940-06-17,"New Haven, CT",United States of America,Male,University of California,"Berkeley, CA",United States of America,,,
2001,Economics,A. Michael Spence,"""for their analyses of markets with asymmetric information""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2001,745.0,1943-00-00,"Montclair, NJ",United States of America,Male,Stanford University,"Stanford, CA",United States of America,,,
2001,Economics,Joseph E. Stiglitz,"""for their analyses of markets with asymmetric information""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2001,746.0,1943-02-09,"Gary, IN",United States of America,Male,Columbia University,"New York, NY",United States of America,,,
2002,Economics,Daniel Kahneman,"""for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2002,759.0,1934-03-05,Tel Aviv,British Mandate of Palestine (Israel),Male,Princeton University,"Princeton, NJ",United States of America,,,
2002,Economics,Vernon L. Smith,"""for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2002,760.0,1927-01-01,"Wichita, KS",United States of America,Male,George Mason University,"Fairfax, VA",United States of America,,,
2003,Economics,Robert F. Engle III,"""for methods of analyzing economic time series with time-varying volatility (ARCH)""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2003,771.0,1942-11-10,"Syracuse, NY",United States of America,Male,New York University,"New York, NY",United States of America,,,
2003,Economics,Clive W.J. Granger,"""for methods of analyzing economic time series with common trends (cointegration)""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2003,772.0,1934-09-04,Swansea,United Kingdom,Male,University of California,"San Diego, CA",United States of America,2009-05-27,"San Diego, CA",United States of America
2004,Economics,Finn E. Kydland,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2004,786.0,1943-12-01,Gjesdal,Norway,Male,Carnegie Mellon University,"Pittsburgh, PA",United States of America,,,
2004,Economics,Finn E. Kydland,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2004,786.0,1943-12-01,Gjesdal,Norway,Male,University of California,"Santa Barbara, CA",United States of America,,,
2004,Economics,Edward C. Prescott,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2004,787.0,1940-12-26,"Glens Falls, NY",United States of America,Male,Arizona State University,"Tempe, AZ",United States of America,,,
2004,Economics,Edward C. Prescott,"""for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2004,787.0,1940-12-26,"Glens Falls, NY",United States of America,Male,Federal Reserve Bank of Minneapolis,"Minneapolis, MN",United States of America,,,
2005,Economics,Robert J. Aumann,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2005,799.0,1930-06-08,Frankfurt-on-the-Main,Germany,Male,"University of Jerusalem, Center for RationalityHebrew",Jerusalem,Israel,,,
2005,Economics,Thomas C. Schelling,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2005,800.0,1921-04-14,"Oakland, CA",United States of America,Male,"University of Maryland, Department of Economics and School of Public Policy","College Park, MD",United States of America,2016-12-13,"Bethesda, MD",United States of America
2006,Economics,Edmund S. Phelps,"""for his analysis of intertemporal tradeoffs in macroeconomic policy""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 2006,807.0,1933-07-26,"Evanston, IL",United States of America,Male,Columbia University,"New York, NY",United States of America,,,
2007,Economics,Leonid Hurwicz,"""for having laid the foundations of mechanism design theory""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2007,820.0,1917-08-21,Moscow,Russia,Male,University of Minnesota,"Minneapolis, MN",United States of America,2008-06-24,"Minneapolis, MN",United States of America
2007,Economics,Eric S. Maskin,"""for having laid the foundations of mechanism design theory""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2007,821.0,1950-12-12,"New York, NY",United States of America,Male,Institute for Advanced Study,"Princeton, NJ",United States of America,,,
2007,Economics,Roger B. Myerson,"""for having laid the foundations of mechanism design theory""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2007,822.0,1951-03-29,"Boston, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,,,
2008,Economics,Paul Krugman,"""for his analysis of trade patterns and location of economic activity""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 2008,834.0,1953-02-28,"New York, NY",United States of America,Male,Princeton University,"Princeton, NJ",United States of America,,,
2009,Economics,Elinor Ostrom,"""for her analysis of economic governance, especially the commons""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2009,846.0,1933-08-07,"Los Angeles, CA",United States of America,Female,Indiana University,"Bloomington, IN",United States of America,2012-06-12,"Bloomington, IN",United States of America
2009,Economics,Elinor Ostrom,"""for her analysis of economic governance, especially the commons""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2009,846.0,1933-08-07,"Los Angeles, CA",United States of America,Female,Arizona State University,"Tempe, AZ",United States of America,2012-06-12,"Bloomington, IN",United States of America
2009,Economics,Oliver E. Williamson,"""for his analysis of economic governance, especially the boundaries of the firm""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2009,847.0,1932-09-27,"Superior, WI",United States of America,Male,University of California,"Berkeley, CA",United States of America,,,
2010,Economics,Peter A. Diamond,"""for their analysis of markets with search frictions""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2010,856.0,1940-04-29,"New York, NY",United States of America,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,
2010,Economics,Dale T. Mortensen,"""for their analysis of markets with search frictions""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2010,857.0,1939-02-02,"Enterprise, OR",United States of America,Male,Northwestern University,"Evanston, IL",United States of America,2014-01-09,"Wilmette, IL",United States of America
2010,Economics,Dale T. Mortensen,"""for their analysis of markets with search frictions""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2010,857.0,1939-02-02,"Enterprise, OR",United States of America,Male,Aarhus University,Aarhus,Denmark,2014-01-09,"Wilmette, IL",United States of America
2010,Economics,Christopher A. Pissarides,"""for their analysis of markets with search frictions""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2010,858.0,1948-02-20,Nicosia,Cyprus,Male,London School of Economics and Political Science,London,United Kingdom,,,
2011,Economics,Thomas J. Sargent,"""for their empirical research on cause and effect in the macroeconomy""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2011,872.0,1943-07-19,"Pasadena, CA",United States of America,Male,New York University,"New York, NY",United States of America,,,
2011,Economics,Christopher A. Sims,"""for their empirical research on cause and effect in the macroeconomy""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2011,873.0,1942-10-21,"Washington, DC",United States of America,Male,Princeton University,"Princeton, NJ",United States of America,,,
2012,Economics,Alvin E. Roth,"""for the theory of stable allocations and the practice of market design""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2012,882.0,1951-12-18,"New York, NY",United States of America,Male,Harvard University,"Cambridge, MA",United States of America,,,
2012,Economics,Alvin E. Roth,"""for the theory of stable allocations and the practice of market design""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2012,882.0,1951-12-18,"New York, NY",United States of America,Male,Harvard Business School,"Boston, MA",United States of America,,,
2012,Economics,Lloyd S. Shapley,"""for the theory of stable allocations and the practice of market design""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2012,883.0,1923-06-02,"Cambridge, MA",United States of America,Male,University of California,"Los Angeles, CA",United States of America,2016-03-12,"Tucson, AZ",United States of America
2013,Economics,Eugene F. Fama,"""for their empirical analysis of asset prices""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2013,894.0,1939-02-14,"Boston, MA",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,,,
2013,Economics,Lars Peter Hansen,"""for their empirical analysis of asset prices""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2013,895.0,1952-10-26,"Urbana, IL",United States of America,Male,University of Chicago,"Chicago, IL",United States of America,,,
2013,Economics,Robert J. Shiller,"""for their empirical analysis of asset prices""",Individual,1/3,The Sveriges Riksbank Prize in Economic Sciences 2013,896.0,1946-03-29,"Detroit, MI",United States of America,Male,Yale University,"New Haven, CT",United States of America,,,
2014,Economics,Jean Tirole,"""for his analysis of market power and regulation""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 2014,915.0,1953-08-09,Troyes,France,Male,Toulouse School of Economics (TSE),Toulouse,France,,,
2015,Economics,Angus Deaton,"""for his analysis of consumption, poverty, and welfare""",Individual,1/1,The Sveriges Riksbank Prize in Economic Sciences 2015,926.0,1945-10-19,Edinburgh,United Kingdom,Male,Princeton University,"Princeton, NJ",United States of America,,,
2016,Economics,Oliver Hart,"""for their contributions to contract theory""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2016,935.0,1948-10-09,London,United Kingdom,Male,Harvard University,"Cambridge, MA",United States of America,,,
2016,Economics,Bengt Holmström,"""for their contributions to contract theory""",Individual,1/2,The Sveriges Riksbank Prize in Economic Sciences 2016,936.0,1949-04-18,Helsinki,Finland,Male,Massachusetts Institute of Technology (MIT),"Cambridge, MA",United States of America,,,
2017,Economics,Richard Thaler,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2017,,,,,,,,,,,
2018,Economics,William Nordhaus,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2018,,,,,,,,,,,
2018,Economics,Paul Romer,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2018,,,,,,,,,,,
2019,Economics,Abhijit Banerjee,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2019,,,,,,,,,,,
2019,Economics,Esther Duflo,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2019,,,,,,,,,,,
2019,Economics,Michael Kremer,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2019,,,,,,,,,,,
2020,Economics,Paul R. Milgrom,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2020,,,,,,,,,,,
2020,Economics,Robert B. Wilson,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2020,,,,,,,,,,,
2021,Economics,David Card,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2021,,,,,,,,,,,
2021,Economics,Joshua D. Angrist,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2021,,,,,,,,,,,
2021,Economics,Guido W. Imbens,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2021,,,,,,,,,,,
2022,Economics,Ben S. Bernanke,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2022,,,,,,,,,,,
2022,Economics,Douglas W. Diamond,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2022,,,,,,,,,,,
2022,Economics,Philip H. Dybvig,,Individual,,The Sveriges Riksbank Prize in Economic Sciences 2022,,,,,,,,,,,
1901,Literature,Sully Prudhomme,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",Individual,1/1,The Nobel Prize in Literature 1901,569.0,1839-03-16,Paris,France,Male,,,,1907-09-07,Châtenay,France
1902,Literature,Christian Matthias Theodor Mommsen,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",Individual,1/1,The Nobel Prize in Literature 1902,571.0,1817-11-30,Garding,Schleswig (Germany),Male,,,,1903-11-01,Charlottenburg,Germany
1903,Literature,Bjørnstjerne Martinus Bjørnson,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",Individual,1/1,The Nobel Prize in Literature 1903,572.0,1832-12-08,Kvikne,Norway,Male,,,,1910-04-26,Paris,France
1904,Literature,Frédéric Mistral,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",Individual,1/2,The Nobel Prize in Literature 1904,573.0,1830-09-08,Maillane,France,Male,,,,1914-03-25,Maillane,France
1904,Literature,José Echegaray y Eizaguirre,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""",Individual,1/2,The Nobel Prize in Literature 1904,574.0,1832-04-19,Madrid,Spain,Male,,,,1916-09-04,Madrid,Spain
1905,Literature,Henryk Sienkiewicz,"""because of his outstanding merits as an epic writer""",Individual,1/1,The Nobel Prize in Literature 1905,575.0,1846-05-05,Wola Okrzejska,Poland,Male,,,,1916-11-15,Vevey,Switzerland
1906,Literature,Giosuè Carducci,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",Individual,1/1,The Nobel Prize in Literature 1906,576.0,1835-07-27,Val di Castello,Tuscany (Italy),Male,,,,1907-02-16,Bologna,Italy
1907,Literature,Rudyard Kipling,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",Individual,1/1,The Nobel Prize in Literature 1907,577.0,1865-12-30,Bombay,British India (India),Male,,,,1936-01-18,London,United Kingdom
1908,Literature,Rudolf Christoph Eucken,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",Individual,1/1,The Nobel Prize in Literature 1908,578.0,1846-01-05,Aurich,East Friesland (Germany),Male,,,,1926-09-14,Jena,Germany
1909,Literature,Selma Ottilia Lovisa Lagerlöf,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",Individual,1/1,The Nobel Prize in Literature 1909,579.0,1858-11-20,Mårbacka,Sweden,Female,,,,1940-03-16,Mårbacka,Sweden
1910,Literature,Paul Johann Ludwig Heyse,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""",Individual,1/1,The Nobel Prize in Literature 1910,580.0,1830-03-15,Berlin,Prussia (Germany),Male,,,,1914-04-02,Munich,Germany
1911,Literature,Count Maurice (Mooris) Polidore Marie Bernhard Maeterlinck,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",Individual,1/1,The Nobel Prize in Literature 1911,581.0,1862-08-29,Ghent,Belgium,Male,,,,1949-05-06,Nice,France
1912,Literature,Gerhart Johann Robert Hauptmann,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",Individual,1/1,The Nobel Prize in Literature 1912,582.0,1862-11-15,Bad Salzbrunn,Prussia (Germany),Male,,,,1946-06-06,Agnetendorf (Jagniatków),Germany (Poland)
1913,Literature,Rabindranath Tagore,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",Individual,1/1,The Nobel Prize in Literature 1913,583.0,1861-05-07,Calcutta,India,Male,,,,1941-08-07,Calcutta,India
1915,Literature,Romain Rolland,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",Individual,1/1,The Nobel Prize in Literature 1915,584.0,1866-01-29,Clamecy,France,Male,,,,1944-12-30,Vézelay,France
1916,Literature,Carl Gustaf Verner von Heidenstam,"""in recognition of his significance as the leading representative of a new era in our literature""",Individual,1/1,The Nobel Prize in Literature 1916,585.0,1859-07-06,Olshammar,Sweden,Male,,,,1940-05-20,Övralid,Sweden
